扬尼斯-阿德托昆博,雄鹿,
谢伊-吉尔杰斯-亚历山大,雷霆,
尼古拉-约基奇,掘金,
杰森-塔特姆,凯尔特人,
达龙-福克斯,国王,
安东尼-戴维斯,湖人,
泰雷斯-马克西,76人,
维克托·文班亚马,马刺,
杰伦-布伦森,尼克斯,
达米安-利拉德,雄鹿,
卡尔-安东尼-唐斯,尼克斯,
安东尼-爱德华兹,森林狼,
德文-布克,太阳,
杰伦-布朗,凯尔特人,
弗朗茨-瓦格纳,魔术,
泰勒-希罗,热火,
诺曼-鲍威尔,快船,
凯里-欧文,独行侠,
凯德-坎宁安,活塞,
多诺万-米切尔,骑士,
RJ-巴雷特,猛龙,
勒布朗-詹姆斯,湖人,
特雷-杨,老鹰,
扎克-拉文,公牛,
小贾伦-杰克逊,灰熊,
斯蒂芬-库里,勇士,
詹姆斯-哈登,快船,
乔丹-普尔,奇才,
布兰登·米勒,黄蜂,
杰伦-威廉姆斯,雷霆,
多曼塔斯-萨博尼斯,国王,
德马尔-德罗赞,国王,
达里厄斯-加兰,骑士,
尼古拉-武切维奇,公牛,
帕斯卡尔-西亚卡姆,步行者,
朱利叶斯-兰德尔,森林狼,
杰伦-约翰逊,老鹰,
贾马尔-默里,掘金,
劳里-马尔卡宁,爵士,
杰伦-格林,火箭,
卡梅伦-约翰逊,篮网,
阿尔佩伦-申京,火箭,
小迈克尔-波特,掘金,
埃文-莫布利,骑士,
米卡尔-布里奇斯,尼克斯,
奥斯汀-里夫斯,湖人,
科比-怀特,公牛,
格雷迪·迪克,猛龙,
谢登-夏普,开拓者,
科林-塞克斯顿,爵士,
